ticket_id,customer_message,category,priority
TKT-1238,I received duplicate items in my order by mistake This is very disappointing.,Order Issue,Medium
TKT-1634,My account PIN was locked need assistance unlocking,Account/Login Issue,High
TKT-1046,I need a payment receipt for my recent purchase. Please help urgently.,Payment Issue,Medium
TKT-1230,My order contains expired products inside the package,Order Issue,Low
TKT-1054,I tried paying three times and got charged three times,Payment Issue,Low
TKT-1073,My account shows payment due even though I already paid,Payment Issue,Medium
TKT-1566,The two factor authentication code is not working This is very disappointing.,Account/Login Issue,High
TKT-1375,My refund request was rejected without proper explanation,Refund Request,High
TKT-1075,The payment was deducted in USD instead of INR,Payment Issue,Low
TKT-1584,My account email was changed without my permission. Please help urgently.,Account/Login Issue,High
TKT-1755,The product quality is very poor and not as described This is very disappointing.,Product/Service Complaint,Low
TKT-1767,The product manual is missing and setup is impossible This is very disappointing.,Product/Service Complaint,High
TKT-1093,I paid through phonepe but transaction is not showing in orders,Payment Issue,High
TKT-1381,I want a refund for wrong item sent in my order This is very disappointing.,Refund Request,High
TKT-1831,The item arrived with insect inside sealed packaging,Product/Service Complaint,High
TKT-1060,Payment deducted for wrong order ID by mistake,Payment Issue,Medium
TKT-1619,The biometric login on app is not recognizing my fingerprint,Account/Login Issue,Medium
TKT-1237,I received duplicate items in my order by mistake. Please help urgently.,Order Issue,Medium
TKT-1376,I cancelled my order within one hour please refund my payment,Refund Request,Low
TKT-1417,I returned item within return window but refund delayed. Please help urgently.,Refund Request,High
TKT-1795,The product remote control stopped working on day one,Product/Service Complaint,Low
TKT-1571,My username is not recognized on the login page. Please help urgently.,Account/Login Issue,Low
TKT-1455,I need refund for warranty replacement that never arrived This is very disappointing.,Refund Request,High
TKT-1640,I cannot verify phone number OTP says invalid code This is very disappointing.,Account/Login Issue,High
TKT-1008,I received a payment confirmation but no order was created,Payment Issue,Medium
TKT-1814,The product charger gets extremely hot while charging,Product/Service Complaint,Medium
TKT-1415,The product description was misleading I want full refund,Refund Request,Medium
TKT-1394,I returned product in original packaging but refund denied,Refund Request,High
TKT-1411,Please process refund for order delivered to wrong address. Please help urgently.,Refund Request,Medium
TKT-1377,"Hi, i cancelled my order within one hour please refund my payment",Refund Request,Low
TKT-1203,My order shows out for delivery since yesterday,Order Issue,Low
TKT-1236,I received duplicate items in my order by mistake,Order Issue,Medium
TKT-1389,My refund to original payment method is taking too long,Refund Request,High
TKT-1042,I was charged for a cancelled subscription renewal,Payment Issue,Medium
TKT-1444,Please process refund for trial converted to paid without notice,Refund Request,Medium
TKT-1022,"Hi, payment gateway timed out but amount was deducted",Payment Issue,Low
TKT-1786,My complaint ticket was closed without any solution offered,Product/Service Complaint,Low
TKT-1069,Why is my payment still pending after 24 hours,Payment Issue,Medium
TKT-1393,Please refund the extra amount charged on my order This is very disappointing.,Refund Request,Medium
TKT-1225,The order tracking shows in transit for two weeks. Please help urgently.,Order Issue,High
TKT-1620,I cannot access order history after password change,Account/Login Issue,High
TKT-1383,My return was accepted but refund status shows pending,Refund Request,Medium
TKT-1228,I want to know estimated delivery for backordered item,Order Issue,Medium
TKT-1251,My pre order item release date was changed without notice This is very disappointing.,Order Issue,Low
TKT-1648,I want to change registered mobile number without old OTP,Account/Login Issue,High
TKT-1213,"Hi, my order ID 45231 is not showing in order history",Order Issue,Low
TKT-1215,I placed order for blue color but received red instead,Order Issue,Medium
TKT-1577,My account verification document was rejected please help. Please help urgently.,Account/Login Issue,Medium
TKT-1249,My pre order item release date was changed without notice. Please help urgently.,Order Issue,Low
TKT-1244,The order shows delivered but security did not receive it. Please help urgently.,Order Issue,High
TKT-1089,I was charged late payment fee even though I paid on time. Please help urgently.,Payment Issue,High
TKT-1097,I need help with payment reconciliation for corporate account,Payment Issue,Medium
TKT-1791,"Hi, the product color fades after first wash completely",Product/Service Complaint,Low
